Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,P
Regular,?,,(Sun) 19 Apr 2009 (W15),FC Dallas (5),3-2,?,Toronto FC (5),West,East,,
Regular,?,,(Wed) 22 Apr 2009 (W16),Toronto FC (6),1-0,?,CD Chivas USA (6),East,West,,
Regular,?,,(Thu) 23 Apr 2009 (W16),Sporting Kansas City (6),1-0,?,New York Red Bulls (6),East,East,,
Regular,?,,(Sat) 25 Apr 2009 (W16),Columbus Crew SC (6),2-2,?,Chicago Fire (6),East,East,,
Regular,?,,(Sat) 25 Apr 2009 (W16),Real Salt Lake (5),6-0,?,New England Revolution (5),West,East,,
Regular,?,,(Sat) 25 Apr 2009 (W16),Colorado Rapids (6),1-1,?,LA Galaxy (5),West,West,,
Regular,?,,(Sun) 26 Apr 2009 (W16),CD Chivas USA (7),2-0,?,FC Dallas (6),West,West,,
Regular,?,,(Sun) 26 Apr 2009 (W16),Seattle Sounders FC (6),2-0,?,San Jose Earthquakes (6),West,West,,
Regular,?,,(Sun) 26 Apr 2009 (W16),New York Red Bulls (7),2-3,?,D.C. United (6),East,East,,
Regular,?,,(Sun) 26 Apr 2009 (W16),Toronto FC (7),1-0,?,Sporting Kansas City (7),East,East,,
Regular,?,,(Sat) 2 May 2009 (W17),Toronto FC (8),1-1,?,Columbus Crew SC (7),East,East,,
Regular,?,,(Sat) 2 May 2009 (W17),D.C. United (7),2-1,?,FC Dallas (7),East,West,,
Regular,?,,(Sat) 2 May 2009 (W17),Chicago Fire (7),1-1,?,Seattle Sounders FC (7),East,West,,
Regular,?,,(Sat) 2 May 2009 (W17),Colorado Rapids (7),2-0,?,Real Salt Lake (6),West,West,,
Regular,?,,(Sun) 3 May 2009 (W17),San Jose Earthquakes (7),0-1,?,CD Chivas USA (8),West,West,,
Regular,?,,(Sun) 3 May 2009 (W17),LA Galaxy (6),1-0,?,New York Red Bulls (8),West,East,,
Regular,?,,(Sun) 3 May 2009 (W17),New England Revolution (6),0-2,?,Houston Dynamo (6),East,West,,
Regular,?,,(Wed) 6 May 2009 (W18),Sporting Kansas City (8),1-1,?,D.C. United (8),East,East,,
Regular,?,,(Wed) 6 May 2009 (W18),Real Salt Lake (7),2-2,?,LA Galaxy (7),West,West,,
Regular,?,,(Fri) 8 May 2009 (W18),New York Red Bulls (9),4-1,?,San Jose Earthquakes (8),East,West,,
Regular,?,,(Sat) 9 May 2009 (W18),Columbus Crew SC (8),3-2,?,Sporting Kansas City (9),East,East,,
Regular,?,,(Sat) 9 May 2009 (W18),D.C. United (9),3-3,?,Toronto FC (9),East,East,,
Regular,?,,(Sat) 9 May 2009 (W18),Chicago Fire (8),1-1,?,New England Revolution (7),East,East,,
Regular,?,,(Sat) 9 May 2009 (W18),Houston Dynamo (7),1-0,?,FC Dallas (8),West,West,,
Regular,?,,(Sun) 10 May 2009 (W18),CD Chivas USA (9),1-0,?,Real Salt Lake (8),West,West,,
Regular,?,,(Sun) 10 May 2009 (W18),Seattle Sounders FC (8),1-1,?,LA Galaxy (8),West,West,,
Regular,?,,(Sat) 16 May 2009 (W19),Toronto FC (10),0-2,?,Chicago Fire (9),East,East,,
Regular,?,,(Sat) 16 May 2009 (W19),New England Revolution (8),1-1,?,Colorado Rapids (8),East,West,,
Regular,?,,(Sat) 16 May 2009 (W19),New York Red Bulls (10),1-1,?,Houston Dynamo (8),East,West,,
Regular,?,,(Sat) 16 May 2009 (W19),FC Dallas (9),1-1,?,Seattle Sounders FC (9),West,West,,
Regular,?,,(Sat) 16 May 2009 (W19),Real Salt Lake (9),0-2,?,Sporting Kansas City (10),West,East,,
Regular,?,,(Sun) 17 May 2009 (W19),CD Chivas USA (10),2-2,?,D.C. United (10),West,East,,
Regular,?,,(Sun) 17 May 2009 (W19),LA Galaxy (9),1-1,?,Columbus Crew SC (9),West,East,,
Regular,?,,(Sat) 23 May 2009 (W20),Toronto FC (11),3-1,?,New England Revolution (9),East,East,,
Regular,?,,(Sat) 23 May 2009 (W20),D.C. United (11),0-0,?,Real Salt Lake (10),East,West,,
Regular,?,,(Sat) 23 May 2009 (W20),Sporting Kansas City (11),1-1,?,CD Chivas USA (11),East,West,,
Regular,?,,(Sat) 23 May 2009 (W20),Houston Dynamo (9),3-1,?,San Jose Earthquakes (9),West,West,,
Regular,?,,(Sat) 23 May 2009 (W20),FC Dallas (10),1-1,?,LA Galaxy (10),West,West,,
Regular,?,,(Sat) 23 May 2009 (W20),Colorado Rapids (9),2-2,?,Seattle Sounders FC (10),West,West,,
Regular,?,,(Sun) 24 May 2009 (W20),New York Red Bulls (11),0-1,?,Chicago Fire (10),East,East,,
Regular,?,,(Wed) 27 May 2009 (W21),Columbus Crew SC (10),2-1,?,San Jose Earthquakes (10),East,West,,
Regular,?,,(Fri) 29 May 2009 (W21),CD Chivas USA (12),2-3,?,Chicago Fire (11),West,East,,
Regular,?,,(Sat) 30 May 2009 (W21),New York Red Bulls (12),2-3,?,Colorado Rapids (10),East,West,,
Regular,?,,(Sat) 30 May 2009 (W21),New England Revolution (10),2-1,?,D.C. United (12),East,East,,
Regular,?,,(Sat) 30 May 2009 (W21),Houston Dynamo (10),3-0,?,Toronto FC (12),West,East,,
Regular,?,,(Sun) 31 May 2009 (W21),Seattle Sounders FC (11),1-1,?,Columbus Crew SC (11),West,East,,
Regular,?,,(Sun) 31 May 2009 (W21),LA Galaxy (11),1-1,?,Sporting Kansas City (12),West,East,,
Regular,?,,(Sun) 31 May 2009 (W21),San Jose Earthquakes (11),2-1,?,Real Salt Lake (11),West,West,,
Regular,?,,(Sun) 31 May 2009 (W21),Chicago Fire (12),0-3,?,FC Dallas (11),East,West,,
Regular,?,,(Thu) 4 Jun 2009 (W22),D.C. United (13),2-0,?,New York Red Bulls (13),East,East,,
Regular,?,,(Fri) 5 Jun 2009 (W22),Chicago Fire (13),0-1,?,Houston Dynamo (11),East,West,,
Regular,?,,(Sat) 6 Jun 2009 (W22),Toronto FC (13),1-2,?,LA Galaxy (12),East,West,,
Regular,?,,(Sat) 6 Jun 2009 (W22),Sporting Kansas City (13),0-2,?,Columbus Crew SC (12),East,East,,
Regular,?,,(Sun) 7 Jun 2009 (W22),Real Salt Lake (12),1-1,?,Colorado Rapids (11),West,West,,
Regular,?,,(Sun) 7 Jun 2009 (W22),CD Chivas USA (13),1-0,?,Seattle Sounders FC (12),West,West,,
Regular,?,,(Sun) 7 Jun 2009 (W22),FC Dallas (12),2-2,?,San Jose Earthquakes (12),West,West,,
Regular,?,,(Sun) 7 Jun 2009 (W22),New England Revolution (11),4-0,?,New York Red Bulls (14),East,East,,
Regular,?,,(Wed) 10 Jun 2009 (W23),Houston Dynamo (12),1-0,?,CD Chivas USA (14),West,West,,
Regular,?,,(Sat) 13 Jun 2009 (W23),D.C. United (14),2-1,?,Chicago Fire (14),East,East,,
Regular,?,,(Sat) 13 Jun 2009 (W23),Toronto FC (14),2-1,?,New York Red Bulls (15),East,East,,
Regular,?,,(Sat) 13 Jun 2009 (W23),FC Dallas (13),1-3,?,Houston Dynamo (13),West,West,,
Regular,?,,(Sat) 13 Jun 2009 (W23),Sporting Kansas City (14),3-1,?,New England Revolution (12),East,East,,
Regular,?,,(Sun) 14 Jun 2009 (W23),LA Galaxy (13),0-2,?,Real Salt Lake (13),West,West,,
Regular,?,,(Sun) 14 Jun 2009 (W23),Seattle Sounders FC (13),2-1,?,San Jose Earthquakes (13),West,West,,
Regular,?,,(Sun) 14 Jun 2009 (W23),Columbus Crew SC (13),2-1,?,CD Chivas USA (15),East,West,,
Regular,?,,(Thu) 18 Jun 2009 (W24),Seattle Sounders FC (14),3-3,?,D.C. United (15),West,East,,
Regular,?,,(Sat) 20 Jun 2009 (W24),San Jose Earthquakes (14),2-1,?,LA Galaxy (14),West,West,,
Regular,?,,(Sat) 20 Jun 2009 (W24),New York Red Bulls (16),1-1,?,Seattle Sounders FC (15),East,West,,
Regular,?,,(Sat) 20 Jun 2009 (W24),FC Dallas (14),2-1,?,Columbus Crew SC (14),West,East,,
Regular,?,,(Sat) 20 Jun 2009 (W24),Houston Dynamo (14),1-1,?,Real Salt Lake (14),West,West,,
Regular,?,,(Sat) 20 Jun 2009 (W24),Colorado Rapids (12),3-0,?,D.C. United (16),West,East,,
Regular,?,,(Wed) 24 Jun 2009 (W25),Toronto FC (15),2-0,?,New York Red Bulls (17),East,East,,
Regular,?,,(Wed) 24 Jun 2009 (W25),Colorado Rapids (13),1-1,?,FC Dallas (15),West,West,,
Regular,?,,(Sat) 27 Jun 2009 (W25),Columbus Crew SC (15),1-0,?,New York Red Bulls (18),East,East,,
Regular,?,,(Sat) 27 Jun 2009 (W25),Real Salt Lake (15),3-0,?,Toronto FC (16),West,East,,
Regular,?,,(Sun) 28 Jun 2009 (W25),Seattle Sounders FC (16),3-0,?,Colorado Rapids (14),West,West,,
Regular,?,,(Mon) 29 Jun 2009 (W26),LA Galaxy (15),1-0,?,Houston Dynamo (15),West,West,,
Regular,?,,(Sat) 4 Jul 2009 (W26),Real Salt Lake (16),1-1,?,San Jose Earthquakes (15),West,West,,
Regular,?,,(Sat) 4 Jul 2009 (W26),Columbus Crew SC (16),1-1,?,D.C. United (17),East,East,,
Regular,?,,(Sat) 4 Jul 2009 (W26),Sporting Kansas City (15),0-1,?,Houston Dynamo (16),East,West,,
Regular,?,,(Sat) 4 Jul 2009 (W26),Colorado Rapids (15),1-2,?,Chicago Fire (15),West,East,,
Regular,?,,(Sat) 4 Jul 2009 (W26),FC Dallas (16),2-1,?,New York Red Bulls (19),West,East,,
Regular,?,,(Sun) 5 Jul 2009 (W26),LA Galaxy (16),1-0,?,New England Revolution (13),West,East,,
Regular,?,,(Sat) 11 Jul 2009 (W27),Seattle Sounders FC (17),2-1,?,Houston Dynamo (17),West,West,,
Regular,?,,(Sat) 11 Jul 2009 (W27),New England Revolution (14),0-0,?,Sporting Kansas City (16),East,East,,
Regular,?,,(Sat) 11 Jul 2009 (W27),Chicago Fire (16),0-0,?,Columbus Crew SC (17),East,East,,
Regular,?,,(Sat) 11 Jul 2009 (W27),Colorado Rapids (16),1-0,?,FC Dallas (17),West,West,,
Regular,?,,(Sun) 12 Jul 2009 (W27),San Jose Earthquakes (16),1-3,?,Toronto FC (17),West,East,,
Regular,?,,(Sun) 12 Jul 2009 (W27),CD Chivas USA (16),0-1,?,LA Galaxy (17),West,West,,
Regular,?,,(Thu) 16 Jul 2009 (W28),New York Red Bulls (20),1-3,?,LA Galaxy (18),East,West,,
Regular,?,,(Sat) 18 Jul 2009 (W28),Toronto FC (18),1-1,?,Houston Dynamo (18),East,West,,
Regular,?,,(Sat) 18 Jul 2009 (W28),D.C. United (18),3-1,?,Colorado Rapids (17),East,West,,
Regular,?,,(Sat) 18 Jul 2009 (W28),Columbus Crew SC (18),3-1,?,Real Salt Lake (17),East,West,,
Regular,?,,(Sat) 18 Jul 2009 (W28),Chicago Fire (17),2-0,?,San Jose Earthquakes (17),East,West,,
Regular,?,,(Sun) 19 Jul 2009 (W28),New England Revolution (15),2-0,?,CD Chivas USA (17),East,West,,
Regular,?,,(Sat) 25 Jul 2009 (W29),Real Salt Lake (18),4-2,?,FC Dallas (18),West,West,,
Regular,?,,(Sat) 25 Jul 2009 (W29),Seattle Sounders FC (18),0-0,?,Chicago Fire (18),West,East,,
Regular,?,,(Sat) 25 Jul 2009 (W29),Columbus Crew SC (19),3-2,?,Toronto FC (19),East,East,,
Regular,?,,(Sat) 25 Jul 2009 (W29),Houston Dynamo (19),0-1,?,New England Revolution (16),West,East,,
Regular,?,,(Sat) 25 Jul 2009 (W29),Sporting Kansas City (17),1-1,?,LA Galaxy (19),East,West,,
Regular,?,,(Sat) 25 Jul 2009 (W29),Colorado Rapids (18),4-0,?,New York Red Bulls (21),West,East,,
Regular,?,,(Sun) 26 Jul 2009 (W29),San Jose Earthquakes (18),2-2,?,D.C. United (19),West,East,,
Regular,?,,(Sat) 1 Aug 2009 (W30),New England Revolution (17),1-1,?,Toronto FC (20),East,East,,
Regular,?,,(Sat) 1 Aug 2009 (W30),Houston Dynamo (20),4-3,?,D.C. United (20),West,East,,
Regular,?,,(Sat) 1 Aug 2009 (W30),FC Dallas (19),6-0,?,Sporting Kansas City (18),West,East,,
Regular,?,,(Sat) 1 Aug 2009 (W30),Chicago Fire (19),1-0,?,Real Salt Lake (19),East,West,,
Regular,?,,(Sat) 1 Aug 2009 (W30),Colorado Rapids (19),0-1,?,Columbus Crew SC (20),West,East,,
Regular,?,,(Sun) 2 Aug 2009 (W30),San Jose Earthquakes (19),4-0,?,Seattle Sounders FC (19),West,West,,
Regular,?,,(Thu) 6 Aug 2009 (W31),FC Dallas (20),1-0,?,Houston Dynamo (21),West,West,,
Regular,?,,(Sat) 8 Aug 2009 (W31),New England Revolution (18),1-2,?,LA Galaxy (20),East,West,,
Regular,?,,(Sat) 8 Aug 2009 (W31),San Jose Earthquakes (20),0-3,?,Columbus Crew SC (21),West,East,,
Regular,?,,(Sat) 8 Aug 2009 (W31),Real Salt Lake (20),1-0,?,Seattle Sounders FC (20),West,West,,
Regular,?,,(Sat) 8 Aug 2009 (W31),Colorado Rapids (20),4-0,?,CD Chivas USA (18),West,West,,
Regular,?,,(Sun) 9 Aug 2009 (W31),Houston Dynamo (22),3-2,?,Chicago Fire (20),West,East,,
Regular,?,,(Sat) 15 Aug 2009 (W32),Toronto FC (21),2-0,?,D.C. United (21),East,East,,
Regular,?,,(Sat) 15 Aug 2009 (W32),New York Red Bulls (22),0-2,?,CD Chivas USA (19),East,West,,
Regular,?,,(Sat) 15 Aug 2009 (W32),Columbus Crew SC (22),2-0,?,FC Dallas (21),East,West,,
Regular,?,,(Sat) 15 Aug 2009 (W32),Real Salt Lake (21),0-0,?,Houston Dynamo (23),West,West,,
Regular,?,,(Sun) 16 Aug 2009 (W32),LA Galaxy (21),0-2,?,Seattle Sounders FC (21),West,West,,
Regular,?,,(Sun) 16 Aug 2009 (W32),Sporting Kansas City (19),0-2,?,Chicago Fire (21),East,East,,
Regular,?,,(Wed) 19 Aug 2009 (W33),Chicago Fire (22),0-2,?,LA Galaxy (22),East,West,,
Regular,?,,(Fri) 21 Aug 2009 (W33),Seattle Sounders FC (22),0-1,?,New England Revolution (19),West,East,,
Regular,?,,(Sat) 22 Aug 2009 (W33),D.C. United (22),0-0,?,LA Galaxy (23),East,West,,
Regular,?,,(Sun) 23 Aug 2009 (W33),San Jose Earthquakes (21),1-0,?,Sporting Kansas City (20),West,East,,
Regular,?,,(Sun) 23 Aug 2009 (W33),CD Chivas USA (20),2-0,?,Toronto FC (22),West,East,,
Regular,?,,(Sun) 23 Aug 2009 (W33),New York Red Bulls (23),3-2,?,FC Dallas (22),East,West,,
Regular,?,,(Sun) 23 Aug 2009 (W33),Chicago Fire (23),3-2,?,Colorado Rapids (21),East,West,,
Regular,?,,(Sun) 23 Aug 2009 (W33),New England Revolution (20),3-1,?,Real Salt Lake (22),East,West,,
Regular,?,,(Sun) 23 Aug 2009 (W33),Houston Dynamo (24),1-1,?,Seattle Sounders FC (23),West,West,,
Regular,?,,(Wed) 26 Aug 2009 (W34),Real Salt Lake (23),4-0,?,CD Chivas USA (21),West,West,,
Regular,?,,(Sat) 29 Aug 2009 (W34),Seattle Sounders FC (24),0-0,?,Toronto FC (23),West,East,,
Regular,?,,(Sat) 29 Aug 2009 (W34),New England Revolution (21),2-1,?,San Jose Earthquakes (22),East,West,,
Regular,?,,(Sat) 29 Aug 2009 (W34),Chicago Fire (24),0-1,?,D.C. United (23),East,East,,
Regular,?,,(Sat) 29 Aug 2009 (W34),Sporting Kansas City (21),0-1,?,Real Salt Lake (24),East,West,,
Regular,?,,(Sun) 30 Aug 2009 (W34),LA Galaxy (24),1-0,?,CD Chivas USA (22),West,West,,
Regular,?,,(Sun) 30 Aug 2009 (W34),Colorado Rapids (22),1-0,?,Houston Dynamo (25),West,West,,
Regular,?,,(Sun) 30 Aug 2009 (W34),New York Red Bulls (24),1-0,?,Columbus Crew SC (23),East,East,,
Regular,?,,(Sat) 5 Sep 2009 (W35),New England Revolution (22),2-4,?,Sporting Kansas City (22),East,East,,
Regular,?,,(Sat) 5 Sep 2009 (W35),FC Dallas (23),2-2,?,D.C. United (24),West,East,,
Regular,?,,(Sun) 6 Sep 2009 (W35),Colorado Rapids (23),1-0,?,Toronto FC (24),West,East,,
Regular,?,,(Wed) 9 Sep 2009 (W36),D.C. United (25),1-0,?,Sporting Kansas City (23),East,East,,
Regular,?,,(Sat) 12 Sep 2009 (W36),Toronto FC (25),3-2,?,Colorado Rapids (24),East,West,,
Regular,?,,(Sat) 12 Sep 2009 (W36),New York Red Bulls (25),0-1,?,Sporting Kansas City (24),East,East,,
Regular,?,,(Sat) 12 Sep 2009 (W36),D.C. United (26),1-2,?,Seattle Sounders FC (25),East,West,,
Regular,?,,(Sat) 12 Sep 2009 (W36),Real Salt Lake (25),1-1,?,Chicago Fire (25),West,East,,
Regular,?,,(Sun) 13 Sep 2009 (W36),LA Galaxy (25),3-6,?,FC Dallas (24),West,West,,
Regular,?,,(Sun) 13 Sep 2009 (W36),CD Chivas USA (23),2-0,?,New England Revolution (23),West,East,,
Regular,?,,(Sun) 13 Sep 2009 (W36),Columbus Crew SC (24),2-1,?,Houston Dynamo (26),East,West,,
Regular,?,,(Fri) 18 Sep 2009 (W37),New York Red Bulls (26),1-1,?,New England Revolution (24),East,East,,
Regular,?,,(Sat) 19 Sep 2009 (W37),San Jose Earthquakes (23),1-1,?,Colorado Rapids (25),West,West,,
Regular,?,,(Sat) 19 Sep 2009 (W37),Seattle Sounders FC (26),0-0,?,CD Chivas USA (24),West,West,,
Regular,?,,(Sat) 19 Sep 2009 (W37),Houston Dynamo (27),3-2,?,Real Salt Lake (26),West,West,,
Regular,?,,(Sat) 19 Sep 2009 (W37),Sporting Kansas City (25),3-2,?,FC Dallas (25),East,West,,
Regular,?,,(Sun) 20 Sep 2009 (W37),LA Galaxy (26),2-0,?,Toronto FC (26),West,East,,
Regular,?,,(Sun) 20 Sep 2009 (W37),Chicago Fire (26),2-2,?,Columbus Crew SC (25),East,East,,
Regular,?,,(Wed) 23 Sep 2009 (W38),Colorado Rapids (26),1-1,?,San Jose Earthquakes (24),West,West,,
Regular,?,,(Sat) 26 Sep 2009 (W38),Columbus Crew SC (26),2-0,?,LA Galaxy (27),East,West,,
Regular,?,,(Sat) 26 Sep 2009 (W38),New England Revolution (25),2-1,?,Seattle Sounders FC (27),East,West,,
Regular,?,,(Sat) 26 Sep 2009 (W38),Sporting Kansas City (26),0-0,?,Colorado Rapids (27),East,West,,
Regular,?,,(Sat) 26 Sep 2009 (W38),FC Dallas (26),3-0,?,Real Salt Lake (27),West,West,,
Regular,?,,(Sat) 26 Sep 2009 (W38),Chicago Fire (27),2-2,?,Toronto FC (27),East,East,,
Regular,?,,(Sun) 27 Sep 2009 (W38),CD Chivas USA (25),1-1,?,New York Red Bulls (27),West,East,,
Regular,?,,(Sun) 27 Sep 2009 (W38),D.C. United (27),1-2,?,San Jose Earthquakes (25),East,West,,
Regular,?,,(Wed) 30 Sep 2009 (W39),FC Dallas (27),1-0,?,New England Revolution (26),West,East,,
Regular,?,,(Sat) 3 Oct 2009 (W39),LA Galaxy (28),1-0,?,Chicago Fire (28),West,East,,
Regular,?,,(Sat) 3 Oct 2009 (W39),D.C. United (28),0-2,?,CD Chivas USA (26),East,West,,
Regular,?,,(Sat) 3 Oct 2009 (W39),Columbus Crew SC (27),0-1,?,Seattle Sounders FC (28),East,West,,
Regular,?,,(Sat) 3 Oct 2009 (W39),Colorado Rapids (28),1-1,?,New England Revolution (27),West,East,,
Regular,?,,(Sun) 4 Oct 2009 (W39),San Jose Earthquakes (26),1-0,?,New York Red Bulls (28),West,East,,
Regular,?,,(Sun) 4 Oct 2009 (W39),Houston Dynamo (28),1-1,?,Sporting Kansas City (27),West,East,,
Regular,?,,(Thu) 8 Oct 2009 (W40),San Jose Earthquakes (27),1-2,?,FC Dallas (28),West,West,,
Regular,?,,(Sat) 10 Oct 2009 (W40),Toronto FC (28),1-1,?,San Jose Earthquakes (28),East,West,,
Regular,?,,(Sat) 10 Oct 2009 (W40),New England Revolution (28),0-1,?,Columbus Crew SC (28),East,East,,
Regular,?,,(Sun) 11 Oct 2009 (W40),CD Chivas USA (27),2-0,?,Sporting Kansas City (28),West,East,,
Regular,?,,(Thu) 15 Oct 2009 (W41),Real Salt Lake (28),2-0,?,New York Red Bulls (29),West,East,,
Regular,?,,(Sat) 17 Oct 2009 (W41),Toronto FC (29),1-0,?,Real Salt Lake (29),East,West,,
Regular,?,,(Sat) 17 Oct 2009 (W41),New England Revolution (29),0-0,?,Chicago Fire (29),East,East,,
Regular,?,,(Sat) 17 Oct 2009 (W41),D.C. United (29),1-0,?,Columbus Crew SC (29),East,East,,
Regular,?,,(Sat) 17 Oct 2009 (W41),FC Dallas (29),2-1,?,Colorado Rapids (29),West,West,,
Regular,?,,(Sat) 17 Oct 2009 (W41),Sporting Kansas City (29),2-3,?,Seattle Sounders FC (29),East,West,,
Regular,?,,(Sun) 18 Oct 2009 (W41),CD Chivas USA (28),2-2,?,San Jose Earthquakes (29),West,West,,
Regular,?,,(Sun) 18 Oct 2009 (W41),Houston Dynamo (29),0-0,?,LA Galaxy (29),West,West,,
Regular,?,,(Thu) 22 Oct 2009 (W42),Chicago Fire (30),1-0,?,CD Chivas USA (29),East,West,,
Regular,?,,(Sat) 24 Oct 2009 (W42),New York Red Bulls (30),5-0,?,Toronto FC (30),East,East,,
Regular,?,,(Sat) 24 Oct 2009 (W42),Sporting Kansas City (30),2-2,?,D.C. United (30),East,East,,
Regular,?,,(Sat) 24 Oct 2009 (W42),Real Salt Lake (30),3-0,?,Colorado Rapids (30),West,West,,
Regular,?,,(Sun) 25 Oct 2009 (W42),Seattle Sounders FC (30),2-1,?,FC Dallas (30),West,West,,
Regular,?,,(Sun) 25 Oct 2009 (W42),LA Galaxy (30),2-0,?,San Jose Earthquakes (30),West,West,,
Regular,?,,(Sun) 25 Oct 2009 (W42),CD Chivas USA (30),2-3,?,Houston Dynamo (30),West,West,,
Regular,?,,(Sun) 25 Oct 2009 (W42),Columbus Crew SC (30),0-1,?,New England Revolution (30),East,East,,
Playoff,Conf. Semifinals,1,(Thu) 29 Oct 2009 (W43),Seattle Sounders FC (31),0-0,?,Houston Dynamo (31),West,West,,
Playoff,Conf. Semifinals,1,(Sat) 31 Oct 2009 (W43),Real Salt Lake (31),1-0,?,Columbus Crew SC (31),West,East,,
Playoff,Conf. Semifinals,1,(Sun) 1 Nov 2009 (W43),New England Revolution (31),2-1,?,Chicago Fire (31),East,East,,
Playoff,Conf. Semifinals,1,(Sun) 1 Nov 2009 (W43),CD Chivas USA (31),2-2,?,LA Galaxy (31),West,West,,
Playoff,Conf. Semifinals,2,(Thu) 5 Nov 2009 (W44),Columbus Crew SC (32),2-3,?,Real Salt Lake (32),East,West,,
Playoff,Conf. Semifinals,2,(Sat) 7 Nov 2009 (W44),Chicago Fire (32),2-0,?,New England Revolution (32),East,East,,
Playoff,Conf. Semifinals,2,(Sun) 8 Nov 2009 (W44),Houston Dynamo (32),0-0,?,Seattle Sounders FC (32),West,West,1-0 (a.e.t.),
Playoff,Conf. Semifinals,2,(Sun) 8 Nov 2009 (W44),LA Galaxy (32),1-0,?,CD Chivas USA (32),West,West,,
